code,entry_date,exit_signal_date,type,entry_close,exit_open_next,ret_pct,exit_day_close_vs_stop_pct,exit_day_ret_pct
ETH-USDT,2021-08-04,2021-09-01,stop_fantasma,2724.7800,3826.8200,40.4451,11.7120,11.5951
ETH-USDT,2021-09-03,2021-09-07,stop_real,3938.1100,3434.8400,-12.7795,-3.5081,-12.5345
ETH-USDT,2021-10-20,2021-11-16,stop_real,4161.1500,4209.5900,1.1641,-2.5392,-7.7572
SOL-USDT,2021-04-03,2021-04-18,stop_real,22.5000,32.3324,43.6996,24.3955,30.1239
SOL-USDT,2021-04-22,2021-05-13,stop_real,38.9000,41.0510,5.5296,7.0020,-6.0857
SOL-USDT,2021-05-18,2021-05-19,stop_real,55.9770,34.9870,-37.4975,-20.2515,-37.4958
SOL-USDT,2021-08-13,2021-08-15,stop_fantasma,44.8300,53.5150,19.3732,16.4317,21.2755
SOL-USDT,2021-08-16,2021-08-18,stop_fantasma,62.0160,72.6590,17.1617,20.0761,13.3182
SOL-USDT,2021-08-27,2021-09-07,stop_real,87.9800,173.4900,97.1925,23.7501,5.6266
SOL-USDT,2021-11-02,2021-11-10,stop_real,220.8200,233.0600,5.5430,5.3567,-2.4891
XRP-USDT,2019-05-14,2019-05-15,stop_fantasma,0.4090,0.4572,11.7922,10.3830,11.8191
XRP-USDT,2020-02-04,2020-02-15,stop_real,0.2674,0.3073,14.9306,1.9153,-8.5283
XRP-USDT,2020-07-28,2020-08-01,stop_fantasma,0.2303,0.2909,26.3146,9.9490,12.1439
XRP-USDT,2020-11-14,2020-11-20,stop_fantasma,0.2682,0.3299,22.9981,10.3444,8.6732
XRP-USDT,2020-11-21,2020-11-22,stop_real,0.4628,0.4459,-3.6536,6.6302,-3.6126
XRP-USDT,2020-11-23,2020-11-24,stop_fantasma,0.6158,0.6940,12.6991,14.9511,12.7008
XRP-USDT,2021-04-05,2021-04-06,stop_fantasma,0.9158,1.0967,19.7436,17.4993,19.7403
XRP-USDT,2021-04-10,2021-04-13,stop_fantasma,1.3728,1.7961,30.8326,19.4901,22.3150
XRP-USDT,2021-08-11,2021-08-14,stop_fantasma,1.0105,1.2788,26.5512,15.4391,17.3379
XRP-USDT,2021-09-06,2021-09-07,stop_real,1.3894,1.1290,-18.7419,-5.3669,-18.7275
XRP-USDT,2021-11-08,2021-11-10,stop_real,1.2815,1.1902,-7.1245,5.0736,-5.3218
XRP-USDT,2022-09-22,2022-09-27,stop_real,0.4862,0.4458,-8.3093,1.7023,-4.8260
ADA-USDT,2019-03-22,2019-03-23,stop_fantasma,0.0578,0.0635,9.8460,11.8510,9.8633
ADA-USDT,2019-03-27,2019-04-02,stop_fantasma,0.0670,0.0854,27.5795,13.0189,18.5021
ADA-USDT,2019-04-03,2019-04-11,stop_real,0.0906,0.0829,-8.4750,4.7284,-7.2650
